instant,class code,largest spot code,spot dist code,Activity,Evolution,Previous 24 hour code,Historically-complex,become complex,Area,Area of the largest spot,target
0,1,4,2,1,3.0,1.0,1,2,1,1,0
1,1,4,2,2,3.0,1.0,1,2,1,1,0
2,5,4,3,1,2.0,1.0,1,1,1,1,1
3,1,3,2,1,2.0,1.0,2,2,1,1,0
4,5,4,3,1,3.0,1.0,1,2,1,1,0
5,5,4,3,1,2.0,1.0,1,2,1,1,0
6,2,3,2,1,3.0,1.0,1,2,1,1,1
7,3,0,1,1,2.0,1.0,2,2,1,1,1
8,5,0,3,1,3.0,1.0,1,2,1,1,0
9,1,4,2,2,3.0,3.0,1,2,1,1,0
10,1,3,2,1,2.0,1.0,1,2,1,1,0
11,2,0,1,1,2.0,1.0,1,2,1,1,0
12,2,3,1,1,3.0,1.0,1,2,1,1,0
13,1,3,2,1,3.0,1.0,1,2,1,1,0
14,0,5,1,1,3.0,1.0,1,2,1,1,0
15,2,3,2,1,3.0,1.0,1,2,1,1,0
16,0,5,2,1,3.0,1.0,1,2,1,1,0
17,2,3,2,1,3.0,1.0,1,2,1,1,0
18,2,3,1,2,3.0,2.0,2,2,1,1,0
19,5,3,3,2,2.0,1.0,2,2,1,1,0
20,5,4,3,1,2.0,1.0,1,2,1,1,0
21,2,0,1,1,3.0,1.0,2,2,1,1,0
22,0,5,2,1,2.0,1.0,1,2,1,1,0
23,5,4,3,1,3.0,1.0,2,2,1,1,0
24,5,4,3,1,2.0,1.0,2,2,1,1,0
25,2,4,1,1,3.0,1.0,2,2,1,1,0
26,5,4,3,1,2.0,1.0,1,1,1,1,1
27,5,4,3,1,2.0,1.0,1,2,1,1,0
28,0,5,2,1,3.0,1.0,1,2,1,1,0
29,0,5,2,1,2.0,1.0,1,2,1,1,0
30,3,2,0,2,2.0,3.0,2,2,2,1,0
31,3,4,2,1,3.0,1.0,1,2,1,1,1
32,5,3,3,1,3.0,1.0,1,2,1,1,0
33,0,5,2,1,1.0,1.0,2,2,1,1,0
34,3,0,2,1,3.0,1.0,2,2,1,1,0
35,0,5,2,1,3.0,1.0,1,2,1,1,0
36,2,0,1,1,3.0,1.0,1,2,1,1,1
37,2,3,2,1,3.0,1.0,1,2,1,1,0
38,1,4,1,1,3.0,1.0,1,2,1,1,0
39,0,5,2,1,1.0,1.0,1,2,1,1,0
40,5,4,3,1,2.0,1.0,2,1,1,1,0
41,1,3,1,1,3.0,1.0,1,2,1,1,0
42,0,5,2,1,2.0,1.0,1,2,1,1,0
43,3,3,0,2,3.0,1.0,1,2,1,1,0
44,5,3,3,1,2.0,1.0,1,1,1,1,0
45,2,0,1,1,3.0,1.0,1,2,1,1,0
46,5,3,3,1,1.0,1.0,2,2,1,1,0
47,2,2,1,2,3.0,1.0,2,2,1,1,1
48,1,3,2,1,3.0,1.0,1,2,1,1,0
49,1,3,2,1,3.0,1.0,1,2,1,1,0
50,5,4,3,1,2.0,1.0,2,1,1,1,0
51,5,4,3,1,3.0,1.0,2,2,1,1,0
52,5,0,3,1,3.0,1.0,2,1,1,1,0
53,2,4,2,2,3.0,1.0,2,2,1,1,1
54,0,5,2,1,3.0,1.0,1,2,1,1,0
55,1,4,2,1,2.0,1.0,1,2,1,1,0
56,3,0,1,1,3.0,1.0,2,2,1,1,0
57,5,0,3,1,2.0,1.0,2,1,1,1,0
58,0,5,2,1,3.0,1.0,1,2,1,1,0
59,2,2,1,2,3.0,1.0,2,2,1,1,0
60,2,0,1,1,3.0,1.0,1,2,1,1,0
61,4,4,1,2,2.0,1.0,2,2,1,1,0
62,5,1,3,1,3.0,1.0,2,1,1,1,0
63,1,4,2,1,2.0,1.0,2,2,1,1,0
64,2,0,2,2,3.0,1.0,1,2,1,1,0
65,3,1,2,2,2.0,2.0,2,2,1,1,0
66,5,4,3,1,2.0,1.0,1,1,1,1,0
67,0,5,1,1,3.0,1.0,1,2,1,1,0
68,3,4,1,1,3.0,1.0,1,2,1,1,0
69,2,0,1,1,3.0,1.0,1,2,1,1,0
70,5,4,3,1,2.0,1.0,1,2,1,1,0
71,2,3,0,2,3.0,1.0,1,2,1,1,1
72,5,4,3,2,2.0,1.0,1,1,1,1,1
73,1,4,2,1,1.0,1.0,1,2,1,1,0
74,1,4,2,1,2.0,1.0,1,2,1,1,0
75,5,4,3,1,2.0,1.0,1,1,1,1,0
76,2,3,2,1,3.0,1.0,1,2,1,1,0
77,3,4,1,2,2.0,1.0,2,2,1,1,1
78,3,4,2,1,2.0,1.0,1,2,1,1,1
79,1,3,2,1,2.0,1.0,2,2,1,1,0
80,1,3,2,1,2.0,1.0,2,2,1,1,1
81,0,5,2,1,2.0,1.0,1,2,1,1,0
82,3,0,1,2,3.0,3.0,2,2,1,1,1
83,5,4,3,1,2.0,1.0,1,2,1,1,0
84,0,5,2,1,2.0,1.0,1,2,1,1,0
85,5,4,3,1,2.0,1.0,1,1,1,1,0
86,0,5,2,1,1.0,1.0,2,2,1,1,0
87,3,0,1,1,2.0,1.0,2,2,1,1,0
88,0,5,2,1,2.0,1.0,2,2,1,1,1
89,5,4,3,1,1.0,1.0,2,2,1,1,0
90,4,0,1,1,2.0,1.0,2,2,1,1,1
91,1,4,2,1,3.0,1.0,1,2,1,1,0
92,2,0,1,1,3.0,1.0,2,2,1,1,1
93,5,4,3,1,1.0,1.0,1,1,1,1,0
94,3,2,0,2,3.0,1.0,2,2,2,1,1
95,2,0,1,2,3.0,2.0,1,2,1,1,0
96,5,0,3,1,2.0,1.0,1,1,1,1,0
97,1,1,2,1,3.0,1.0,1,2,1,1,0
98,5,3,3,1,2.0,1.0,2,1,1,1,0
99,2,0,1,1,3.0,1.0,1,2,1,1,0
100,3,0,0,1,3.0,1.0,1,2,1,1,1
101,1,0,2,1,2.0,1.0,2,2,1,1,0
102,3,0,2,2,2.0,1.0,2,2,1,1,1
103,5,4,3,1,3.0,1.0,1,2,1,1,0
104,0,5,2,1,2.0,1.0,1,2,1,1,0
105,2,0,1,1,3.0,1.0,2,2,1,1,0
106,1,0,2,2,2.0,3.0,2,2,1,1,0
107,0,5,2,1,1.0,1.0,2,2,1,1,0
108,2,0,1,2,3.0,1.0,1,2,1,1,1
109,1,3,2,1,2.0,1.0,1,2,1,1,0
110,4,4,1,1,3.0,1.0,2,2,1,1,0
111,1,3,2,1,3.0,1.0,1,2,1,1,0
112,5,4,3,1,1.0,1.0,1,2,1,1,0
113,1,3,2,1,3.0,1.0,1,2,1,1,0
114,2,4,2,1,2.0,1.0,2,2,1,1,1
115,5,4,3,1,3.0,1.0,1,1,1,1,0
116,3,0,2,2,2.0,1.0,2,2,1,1,0
117,3,4,2,1,2.0,1.0,1,2,1,1,0
118,4,2,1,1,2.0,1.0,2,2,2,1,0
119,1,4,2,2,2.0,1.0,2,2,1,1,0
120,4,0,1,1,2.0,1.0,2,2,1,1,0
121,5,4,3,1,2.0,1.0,2,1,1,1,0
122,5,4,3,1,2.0,1.0,1,1,1,1,0
123,5,4,3,1,3.0,1.0,2,1,1,1,0
124,5,4,3,1,2.0,1.0,1,1,1,1,0
125,3,0,2,2,2.0,1.0,2,2,1,1,0
126,2,1,2,1,3.0,1.0,1,2,1,1,0
127,2,0,1,2,2.0,1.0,2,2,1,1,1
128,0,5,2,1,2.0,1.0,2,2,1,1,0
129,0,5,2,1,3.0,1.0,1,2,1,1,0
130,4,1,2,1,2.0,1.0,1,2,1,1,0
131,4,0,1,2,2.0,1.0,2,2,1,1,0
132,2,4,1,1,3.0,1.0,1,2,1,1,0
133,1,0,2,1,3.0,1.0,2,2,1,1,0
134,1,3,2,1,3.0,1.0,1,2,1,1,1
135,2,4,1,2,2.0,1.0,2,2,1,1,1
136,2,0,1,2,3.0,1.0,2,2,1,1,1
137,5,4,3,1,2.0,1.0,1,2,1,1,0
138,5,4,3,1,3.0,1.0,1,1,1,1,1
139,2,3,1,1,2.0,1.0,2,2,1,1,0
140,5,4,3,1,2.0,1.0,1,1,1,1,0
141,0,5,2,1,3.0,1.0,1,2,1,1,0
142,1,4,2,1,3.0,1.0,1,2,1,1,0
143,5,0,3,1,3.0,1.0,1,1,1,1,0
144,0,5,2,2,2.0,1.0,2,2,1,1,0
145,5,1,3,1,3.0,1.0,1,1,1,1,0
146,5,4,3,1,2.0,1.0,1,1,1,1,0
147,5,3,3,1,2.0,1.0,2,2,1,1,0
148,2,0,1,1,3.0,1.0,2,2,1,1,0
149,1,4,2,1,2.0,1.0,2,2,1,1,0
150,2,4,2,1,3.0,1.0,1,2,1,1,0
151,5,4,3,1,2.0,1.0,1,2,1,1,0
152,5,4,3,1,3.0,1.0,1,1,1,1,0
153,5,3,3,1,2.0,1.0,1,2,1,1,0
154,1,4,2,1,3.0,1.0,1,2,1,1,0
155,2,4,1,1,3.0,1.0,1,2,1,1,0
156,1,4,2,1,3.0,1.0,1,2,1,1,0
157,0,5,2,1,2.0,1.0,2,2,1,1,0
158,3,0,1,1,2.0,1.0,2,2,1,1,0
159,5,4,3,1,2.0,1.0,2,2,1,1,0
160,5,4,3,1,2.0,1.0,1,2,1,1,0
161,0,5,2,1,3.0,1.0,1,2,1,1,0
162,3,4,1,1,2.0,1.0,2,2,1,1,0
163,0,5,2,1,3.0,1.0,1,2,1,1,0
164,5,4,3,1,3.0,1.0,2,1,1,1,0
165,2,2,1,2,2.0,1.0,2,2,1,1,1
166,2,3,1,1,3.0,1.0,1,2,1,1,1
167,1,4,2,2,2.0,1.0,1,2,1,1,0
168,1,4,2,2,2.0,3.0,2,2,1,1,1
169,5,4,3,1,2.0,1.0,2,1,1,1,0
170,2,0,1,1,3.0,1.0,2,2,1,1,1
171,5,4,3,1,3.0,1.0,2,1,1,1,0
172,0,5,2,1,2.0,1.0,2,2,1,1,0
173,3,0,1,1,3.0,1.0,1,2,1,1,0
174,2,0,1,2,3.0,1.0,2,2,1,1,0
175,4,0,1,2,2.0,1.0,2,2,1,1,1
176,5,4,3,1,2.0,1.0,2,2,1,1,0
177,5,3,3,1,3.0,1.0,1,2,1,1,0
178,5,4,3,1,2.0,1.0,1,2,1,1,0
179,5,4,3,1,2.0,1.0,1,2,1,1,0
180,1,4,2,1,3.0,1.0,1,2,1,1,0
181,3,2,0,2,3.0,3.0,2,2,2,1,1
182,2,2,1,2,2.0,1.0,2,2,1,1,0
183,5,4,3,1,3.0,1.0,1,1,1,1,0
184,2,0,1,2,3.0,1.0,1,2,1,1,1
185,0,5,2,1,3.0,1.0,1,2,1,1,0
186,2,0,2,1,2.0,1.0,2,2,1,1,1
187,0,5,2,1,3.0,1.0,1,2,1,1,0
188,5,3,3,1,1.0,1.0,1,2,1,1,0
189,5,4,3,1,2.0,1.0,1,2,1,1,0
190,3,2,0,2,2.0,2.0,2,2,2,1,1
191,0,5,2,1,3.0,1.0,1,2,1,1,0
192,4,2,0,2,2.0,1.0,2,2,1,1,1
193,5,4,3,1,3.0,1.0,1,1,1,1,0
194,2,2,1,2,2.0,1.0,2,2,1,1,1
195,0,5,2,1,3.0,1.0,1,2,1,1,0
196,2,4,2,1,3.0,1.0,1,2,1,1,1
197,1,4,2,1,2.0,1.0,1,2,1,1,0
198,3,2,1,1,3.0,1.0,2,2,2,1,1
199,1,0,2,1,3.0,1.0,1,2,1,1,0
200,1,3,1,1,3.0,1.0,1,2,1,1,1
201,5,4,3,1,3.0,1.0,2,2,1,1,0
202,2,3,1,1,3.0,1.0,1,2,1,1,0
203,5,4,3,1,3.0,1.0,1,2,1,1,0
204,5,4,3,1,2.0,1.0,2,2,1,1,0
205,2,4,2,2,3.0,2.0,1,2,1,1,1
206,0,5,2,1,3.0,1.0,1,2,1,1,0
207,0,5,2,1,2.0,1.0,1,2,1,1,0
208,5,0,3,1,2.0,1.0,2,2,1,1,0
209,0,5,2,1,2.0,1.0,1,2,1,1,0
210,5,4,3,1,2.0,1.0,1,1,1,1,0
211,1,3,2,1,2.0,1.0,1,2,1,1,0
212,0,5,2,1,3.0,1.0,1,2,1,1,0
213,5,4,3,1,2.0,1.0,1,2,1,1,0
214,5,3,3,1,2.0,1.0,1,1,1,1,0
215,2,0,2,1,3.0,1.0,1,2,1,1,0
216,5,4,3,1,3.0,1.0,2,1,1,1,0
217,1,3,2,1,3.0,1.0,1,2,1,1,0
218,1,3,2,1,3.0,1.0,1,2,1,1,0
219,0,5,2,1,3.0,1.0,1,2,1,1,0
220,5,4,3,1,1.0,1.0,2,2,1,1,0
221,2,0,1,1,2.0,1.0,2,2,1,1,1
222,1,3,1,1,3.0,1.0,1,2,1,1,1
223,2,3,2,1,3.0,1.0,1,2,1,1,0
224,2,0,1,1,3.0,1.0,1,2,1,1,0
225,1,4,2,1,3.0,1.0,2,2,1,1,1
226,5,4,3,1,2.0,1.0,2,1,1,1,0
227,1,4,2,1,3.0,1.0,1,2,1,1,0
228,5,3,3,1,3.0,1.0,1,1,1,1,0
229,2,0,2,1,2.0,1.0,1,2,1,1,0
230,5,4,3,1,2.0,1.0,1,2,1,1,0
231,1,3,2,1,3.0,1.0,1,2,1,1,0
232,5,4,3,1,3.0,1.0,1,1,1,1,0
233,5,0,3,1,2.0,1.0,1,1,1,1,0
234,0,5,2,1,2.0,1.0,1,2,1,1,0
235,2,0,1,1,2.0,1.0,2,2,1,1,0
236,0,5,2,1,3.0,1.0,1,2,1,1,0
237,0,5,2,1,2.0,1.0,1,2,1,1,0
238,2,3,2,1,2.0,1.0,1,2,1,1,0
239,5,3,3,1,1.0,1.0,1,2,1,1,0
240,1,4,2,1,2.0,1.0,1,2,1,1,0
241,5,4,3,1,2.0,1.0,2,1,1,1,0
242,5,4,3,1,2.0,1.0,1,2,1,1,0
243,5,4,3,1,3.0,1.0,2,2,1,1,0
244,5,4,3,1,2.0,1.0,1,2,1,1,0
245,5,4,3,1,1.0,1.0,2,2,1,1,0
246,1,4,2,2,2.0,1.0,1,2,1,1,1
247,2,4,1,1,2.0,1.0,2,2,1,1,0
248,3,0,1,1,2.0,1.0,2,2,1,1,0
249,2,4,1,1,1.0,1.0,2,2,1,1,0
250,2,0,1,1,2.0,1.0,2,2,1,1,1
251,2,2,1,2,2.0,1.0,2,2,1,1,0
252,5,4,3,1,2.0,1.0,2,1,1,1,0
253,2,3,2,1,3.0,1.0,1,2,1,1,0
254,5,0,3,1,2.0,1.0,2,2,1,1,0
255,1,0,2,1,2.0,1.0,2,2,1,1,0
256,1,4,2,1,2.0,1.0,2,2,1,1,0
257,5,2,3,1,3.0,1.0,1,1,1,1,0
258,0,5,2,1,3.0,1.0,1,2,1,1,0
259,5,3,3,1,3.0,1.0,1,2,1,1,0
260,1,3,2,1,3.0,1.0,1,2,1,1,0
261,5,4,3,1,1.0,1.0,1,2,1,1,0
262,1,4,2,1,2.0,1.0,1,2,1,1,0
263,2,0,1,1,2.0,1.0,2,2,1,1,0
264,0,5,2,2,3.0,1.0,1,2,1,1,0
265,2,3,2,1,2.0,1.0,1,2,1,1,0
266,5,4,3,2,2.0,1.0,2,2,1,1,0
267,5,4,3,1,2.0,1.0,1,2,1,1,1
268,2,3,2,1,1.0,1.0,1,2,1,1,0
269,1,4,2,1,3.0,1.0,1,2,1,1,1
270,2,0,2,1,2.0,1.0,2,2,1,1,0
271,1,4,2,1,2.0,1.0,1,2,1,1,0
272,3,4,2,1,3.0,1.0,1,2,1,1,0
273,0,5,2,1,3.0,1.0,1,2,1,1,0
274,5,4,3,1,3.0,1.0,1,1,1,1,0
275,3,0,1,1,3.0,1.0,2,2,1,1,1
276,5,4,3,1,2.0,1.0,2,1,1,1,0
277,3,4,2,1,3.0,1.0,1,2,1,1,0
278,1,4,2,1,2.0,1.0,1,2,1,1,0
279,2,0,0,1,2.0,1.0,2,2,1,1,0
280,0,5,2,2,2.0,1.0,1,2,1,1,0
281,2,4,1,1,3.0,1.0,1,2,1,1,1
282,1,4,2,1,3.0,1.0,1,2,1,1,0
283,5,4,3,1,2.0,1.0,2,2,1,1,0
284,1,3,2,1,2.0,1.0,1,2,1,1,0
285,2,0,2,1,3.0,1.0,2,2,1,1,0
286,2,4,2,1,3.0,1.0,2,2,1,1,0
287,4,0,1,1,1.0,1.0,2,2,1,1,0
288,5,3,3,1,3.0,1.0,1,2,1,1,0
289,5,4,3,1,1.0,1.0,1,1,1,1,0
290,5,4,3,1,2.0,1.0,1,1,1,1,0
291,3,0,1,2,3.0,1.0,2,2,1,1,1
292,0,5,2,1,3.0,1.0,1,2,1,1,0
293,1,4,2,1,2.0,1.0,1,2,1,1,1
294,2,3,2,1,3.0,1.0,1,2,1,1,0
295,4,4,1,1,3.0,1.0,2,2,1,1,1
296,1,0,2,1,2.0,1.0,1,2,1,1,0
297,2,2,1,2,3.0,2.0,2,2,1,1,1
298,5,4,3,1,3.0,1.0,1,1,1,1,0
299,1,3,2,1,3.0,1.0,1,2,1,1,0
300,3,4,1,2,2.0,1.0,2,2,1,1,0
301,2,3,2,1,2.0,1.0,1,2,1,1,0
302,4,0,1,2,2.0,1.0,2,2,1,1,0
303,3,0,1,2,2.0,1.0,2,2,1,1,0
304,2,0,1,1,3.0,1.0,2,2,1,1,1
305,0,5,2,1,2.0,1.0,1,2,1,1,0
306,2,0,1,1,2.0,1.0,2,2,1,1,0
307,2,1,2,1,3.0,1.0,2,2,1,1,0
308,5,4,3,1,2.0,1.0,1,1,1,1,0
309,5,4,3,1,2.0,1.0,1,1,1,1,0
310,5,0,3,1,3.0,1.0,2,2,1,1,0
311,1,4,2,1,2.0,1.0,2,2,1,1,0
312,0,5,2,1,3.0,1.0,1,2,1,1,0
313,3,2,0,2,3.0,3.0,2,2,2,1,1
314,2,3,1,2,2.0,1.0,2,2,1,1,0
315,1,4,2,1,3.0,1.0,2,2,1,1,1
316,2,3,0,1,3.0,1.0,2,2,1,1,1
317,2,4,2,1,2.0,1.0,2,2,1,1,0
318,2,0,2,1,3.0,1.0,2,2,1,1,0
319,2,4,1,1,3.0,1.0,1,2,1,1,0
320,5,3,3,1,2.0,1.0,1,2,1,1,0
321,3,0,1,2,2.0,1.0,1,2,1,1,1
322,0,5,2,1,3.0,1.0,1,2,1,1,0
323,1,4,2,1,2.0,1.0,1,2,1,1,1
324,1,3,2,1,3.0,1.0,1,2,1,1,0
325,5,4,3,1,2.0,1.0,2,1,1,1,0
326,1,3,2,1,3.0,1.0,1,2,1,1,0
327,5,4,3,1,2.0,1.0,2,1,1,1,0
328,5,4,3,1,2.0,1.0,2,1,1,1,0
329,5,4,3,1,2.0,1.0,2,1,1,1,0
330,0,5,2,1,1.0,1.0,1,2,1,1,0
331,5,4,3,1,2.0,1.0,1,2,1,1,0
332,1,4,2,1,3.0,1.0,2,2,1,1,0
333,5,1,3,1,3.0,1.0,1,2,1,1,0
334,5,0,3,1,2.0,1.0,1,1,1,1,1
335,5,3,3,1,1.0,1.0,2,2,1,1,0
336,3,0,1,1,3.0,1.0,2,2,1,1,0
337,2,3,2,1,2.0,1.0,1,2,1,1,0
338,4,0,0,2,2.0,1.0,2,2,1,1,1
339,5,3,3,1,1.0,1.0,1,2,1,1,0
340,5,3,3,1,2.0,1.0,1,2,1,1,0
341,2,0,2,2,3.0,1.0,1,2,1,1,0
342,2,4,2,1,3.0,1.0,1,2,1,1,0
343,4,0,1,2,3.0,1.0,2,2,2,1,1
344,5,3,3,1,2.0,1.0,1,2,1,1,0
345,5,3,3,1,3.0,1.0,1,2,1,1,0
346,5,4,3,1,3.0,1.0,1,1,1,1,0
347,2,0,1,2,2.0,1.0,2,2,1,1,1
348,0,4,2,1,2.0,1.0,1,2,1,1,0
349,1,4,2,1,3.0,1.0,1,2,1,1,0
350,5,4,3,1,2.0,1.0,1,2,1,1,0
351,3,1,1,1,3.0,1.0,2,2,1,1,1
352,2,0,2,1,1.0,1.0,2,2,1,1,0
353,5,4,3,1,2.0,1.0,1,1,1,1,0
